Altitude_km,He_density_cm3,O_density_cm3,N2_density_cm3,O2_density_cm3,Ar_density_cm3,Total_mass_density,H_density_cm3,N_density_cm3,Exospheric_temp_K,Temp_at_altitude_K,density_kg_m3,mass_flow_kg_s
306,4830000,850500000,195400000.0,6288000.0,46920.0,3.231e-14,47300,11720000,1099.58,1093.31,3.2309999999999996e-11,5.075242931874311e-10
307,4811000,837100000,190100000.0,6093000.0,45110.0,3.17e-14,47250,11550000,1099.58,1093.47,3.17e-11,4.979424355939822e-10
308,4792000,824000000,184900000.0,5904000.0,43370.0,3.109e-14,47190,11380000,1099.58,1093.62,3.1090000000000006e-11,4.883605780005335e-10
309,4773000,811100000,179900000.0,5722000.0,41700.0,3.05e-14,47140,11210000,1099.58,1093.76,3.0500000000000005e-11,4.790928796724436e-10
310,4754000,798500000,175000000.0,5545000.0,40100.0,2.993e-14,47090,11050000,1099.58,1093.9,2.993e-11,4.701393406097125e-10
311,4735000,786000000,170300000.0,5373000.0,38560.0,2.936e-14,47030,10880000,1099.58,1094.04,2.936e-11,4.611858015469817e-10
312,4716000,773700000,165700000.0,5207000.0,37080.0,2.881e-14,46980,10720000,1099.58,1094.18,2.881e-11,4.525464217496097e-10
313,4697000,761700000,161200000.0,5046000.0,35650.0,2.827e-14,46930,10570000,1099.58,1094.31,2.827e-11,4.440641215849173e-10
314,4679000,749800000,156800000.0,4891000.0,34280.0,2.774e-14,46880,10410000,1099.58,1094.44,2.774e-11,4.3573890105290434e-10
315,4660000,738100000,152600000.0,4740000.0,32970.0,2.722e-14,46820,10260000,1099.58,1094.57,2.722e-11,4.275707601535709e-10
316,4642000,726600000,148400000.0,4594000.0,31700.0,2.671e-14,46770,10110000,1099.58,1094.69,2.671e-11,4.195596988869169e-10
317,4623000,715300000,144400000.0,4452000.0,30490.0,2.621e-14,46720,9962000,1099.58,1094.81,2.621e-11,4.1170571725294237e-10
318,4605000,704200000,140500000.0,4315000.0,29320.0,2.572e-14,46670,9817000,1099.58,1094.92,2.572e-11,4.040088152516474e-10
319,4587000,693200000,136700000.0,4182000.0,28190.0,2.525e-14,46620,9674000,1099.58,1095.04,2.525e-11,3.9662607251571145e-10
320,4569000,682400000,133000000.0,4053000.0,27120.0,2.478e-14,46570,9533000,1099.58,1095.15,2.478e-11,3.892433297797754e-10
321,4551000,671800000,129500000.0,3929000.0,26080.0,2.432e-14,46460,9394000,1099.58,1095.26,2.432e-11,3.8201766667651884e-10
322,4533000,661400000,126000000.0,3808000.0,25080.0,2.387e-14,46420,9257000,1099.58,1095.36,2.387e-11,3.7494908320594187e-10
323,4515000,651100000,122600000.0,3691000.0,24120.0,2.343e-14,46370,9123000,1099.58,1095.46,2.343e-11,3.680375793680443e-10
324,4497000,641000000,119300000.0,3578000.0,23200.0,2.3e-14,46320,8991000,1099.58,1095.57,2.3e-11,3.612831551628263e-10
325,4479000,631100000,116100000.0,3468000.0,22310.0,2.258e-14,46270,8860000,1099.58,1095.66,2.258e-11,3.546858105902877e-10
326,4462000,621300000,112900000.0,3361000.0,21460.0,2.216e-14,46230,8732000,1099.58,1095.76,2.216e-11,3.4808846601774914e-10
327,4444000,611700000,109900000.0,3258000.0,20640.0,2.176e-14,46180,8606000,1099.58,1095.85,2.176e-11,3.4180528071056955e-10
328,4427000,602200000,106900000.0,3158000.0,19850.0,2.136e-14,46130,8482000,1099.58,1095.94,2.136e-11,3.3552209540338995e-10
329,4409000,592900000,104100000.0,3062000.0,19100.0,2.097e-14,46080,8359000,1099.58,1096.03,2.097e-11,3.293959897288898e-10
330,4392000,583800000,101300000.0,2968000.0,18370.0,2.059e-14,46040,8239000,1099.58,1096.12,2.059e-11,3.2342696368706927e-10
331,4375000,574700000,98550000.0,2877000.0,17670.0,2.022e-14,45990,8120000,1099.58,1096.2,2.0220000000000002e-11,3.1761501727792813e-10
332,4358000,565900000,95900000.0,2789000.0,17000.0,1.985e-14,45940,8003000,1099.58,1096.28,1.9849999999999998e-11,3.11803070868787e-10
333,4341000,557100000,93330000.0,2704000.0,16350.0,1.949e-14,45900,7888000,1099.58,1096.36,1.9490000000000002e-11,3.061482040923254e-10
334,4324000,548500000,90830000.0,2621000.0,15730.0,1.914e-14,45850,7775000,1099.58,1096.44,1.914e-11,3.0065041694854323e-10
335,4307000,540100000,88390000.0,2541000.0,15130.0,1.88e-14,45810,7663000,1099.58,1096.52,1.88e-11,2.9530970943744055e-10
336,4290000,531700000,86020000.0,2463000.0,14550.0,1.846e-14,45760,7554000,1099.58,1096.59,1.846e-11,2.899690019263379e-10
337,4273000,523500000,83720000.0,2388000.0,14000.0,1.813e-14,45710,7446000,1099.58,1096.67,1.813e-11,2.847853740479148e-10
338,4257000,515500000,81480000.0,2315000.0,13470.0,1.78e-14,45670,7339000,1099.58,1096.74,1.78e-11,2.7960174616949164e-10
339,4240000,507500000,79300000.0,2244000.0,12960.0,1.748e-14,45620,7234000,1099.58,1096.8,1.7479999999999997e-11,2.7457519792374794e-10
340,4224000,499700000,77180000.0,2176000.0,12460.0,1.717e-14,45580,7131000,1099.58,1096.87,1.717e-11,2.6970572931068377e-10
341,4207000,492000000,75110000.0,2110000.0,11990.0,1.686e-14,45530,7030000,1099.58,1096.94,1.686e-11,2.648362606976196e-10
342,4191000,484500000,73110000.0,2045000.0,11540.0,1.656e-14,45480,6929000,1099.58,1097.0,1.6560000000000002e-11,2.601238717172349e-10
343,4175000,477000000,71150000.0,1983000.0,11100.0,1.627e-14,45440,6831000,1099.58,1097.06,1.627e-11,2.5556856236952966e-10
344,4158000,469700000,69250000.0,1923000.0,10680.0,1.598e-14,45390,6734000,1099.58,1097.13,1.598e-11,2.5101325302182447e-10
345,4142000,462500000,67400000.0,1864000.0,10270.0,1.57e-14,45350,6638000,1099.58,1097.18,1.5699999999999998e-11,2.4661502330679876e-10
346,4126000,455400000,65600000.0,1807000.0,9884.0,1.542e-14,45300,6544000,1099.58,1097.24,1.542e-11,2.422167935917731e-10
347,4110000,448400000,63850000.0,1752000.0,9510.0,1.515e-14,45260,6451000,1099.58,1097.3,1.515e-11,2.3797564350942687e-10
