Altitude_km,He_density_cm3,O_density_cm3,N2_density_cm3,O2_density_cm3,Ar_density_cm3,Total_mass_density,H_density_cm3,N_density_cm3,Exospheric_temp_K,Temp_at_altitude_K
224,6879000,3306000000,2043000000,91410000,1319000,1.886e-13,56480,37320000,1099.58,1050.4
225,6846000,3248000000,1982000000,88300000,1263000,1.84e-13,56210,36920000,1099.58,1051.64
226,6812000,3190000000,1923000000,85300000,1210000,1.796e-13,55950,36530000,1099.58,1052.84
227,6780000,3134000000,1865000000,82420000,1159000,1.753e-13,55700,36130000,1099.58,1054.01
228,6747000,3079000000,1810000000,79640000,1111000,1.711e-13,55460,35730000,1099.58,1055.16
229,6715000,3025000000,1756000000,76950000,1065000,1.67e-13,55230,35330000,1099.58,1056.27
230,6683000,2973000000,1704000000,74360000,1020000,1.63e-13,55000,34920000,1099.58,1057.36
231,6651000,2921000000,1654000000,71870000,978000,1.592e-13,54780,34510000,1099.58,1058.42
232,6620000,2870000000,1605000000,69460000,937400,1.554e-13,54570,34100000,1099.58,1059.45
233,6589000,2821000000,1558000000,67140000,898600,1.518e-13,54360,33690000,1099.58,1060.45
234,6558000,2772000000,1512000000,64900000,861500,1.482e-13,54160,33280000,1099.58,1061.43
235,6528000,2724000000,1468000000,62740000,826000,1.448e-13,53970,32870000,1099.58,1062.39
236,6498000,2677000000,1425000000,60660000,792000,1.414e-13,53790,32460000,1099.58,1063.32
237,6468000,2632000000,1383000000,58640000,759400,1.381e-13,53600,32050000,1099.58,1064.23
238,6438000,2587000000,1343000000,56700000,728300,1.35e-13,53430,31650000,1099.58,1065.11
239,6408000,2542000000,1304000000,54830000,698400,1.319e-13,53260,31240000,1099.58,1065.97
240,6379000,2499000000,1266000000,53020000,669900,1.288e-13,53090,30830000,1099.58,1066.81
241,6350000,2457000000,1229000000,51270000,642700,1.259e-13,52930,30430000,1099.58,1067.63
242,6321000,2415000000,1194000000,49580000,616500,1.23e-13,52780,30030000,1099.58,1068.43
243,6293000,2374000000,1159000000,47950000,591400,1.203e-13,52630,29630000,1099.58,1069.21
244,6265000,2334000000,1126000000,46380000,567300,1.175e-13,52480,29230000,1099.58,1069.97
245,6237000,2295000000,1093000000,44860000,544300,1.149e-13,52330,28840000,1099.58,1070.71
246,6209000,2256000000,1062000000,43400000,522200,1.123e-13,52200,28440000,1099.58,1071.43
247,6181000,2219000000,1031000000,41980000,501100,1.098e-13,52060,28050000,1099.58,1072.13
248,6154000,2181000000,1002000000,40610000,480800,1.074e-13,51930,27670000,1099.58,1072.81
249,6126000,2145000000,973200000,39290000,461400,1.05e-13,51800,27290000,1099.58,1073.48
250,6099000,2109000000,945400000,38010000,442800,1.027e-13,51670,26910000,1099.58,1074.13
251,6073000,2074000000,918400000,36780000,425000,1.004e-13,51550,26530000,1099.58,1074.77
252,6046000,2040000000,892200000,35580000,407900,9.821e-14,51430,26160000,1099.58,1075.38
253,6020000,2006000000,866800000,34430000,391500,9.606e-14,51310,25790000,1099.58,1075.99
254,5993000,1973000000,842200000,33320000,375800,9.396e-14,51200,25420000,1099.58,1076.57
255,5967000,1940000000,818300000,32240000,360700,9.192e-14,51090,25060000,1099.58,1077.15
256,5941000,1908000000,795100000,31200000,346300,8.992e-14,50980,24700000,1099.58,1077.7
257,5916000,1877000000,772500000,30200000,332400,8.798e-14,50870,24350000,1099.58,1078.25
258,5890000,1846000000,750700000,29220000,319100,8.608e-14,50770,24000000,1099.58,1078.78
259,5865000,1815000000,729500000,28280000,306400,8.423e-14,50660,23650000,1099.58,1079.3
260,5840000,1786000000,708900000,27370000,294200,8.243e-14,50560,23310000,1099.58,1079.8
261,5815000,1756000000,688900000,26500000,282400,8.067e-14,50470,22970000,1099.58,1080.29
262,5790000,1728000000,669500000,25650000,271200,7.895e-14,50370,22630000,1099.58,1080.77
263,5765000,1699000000,650700000,24830000,260400,7.727e-14,50280,22300000,1099.58,1081.24
264,5741000,1672000000,632400000,24030000,250100,7.564e-14,50180,21980000,1099.58,1081.69
265,5716000,1644000000,614700000,23260000,240200,7.404e-14,50090,21650000,1099.58,1082.14
266,5692000,1618000000,597400000,22520000,230600,7.248e-14,50010,21340000,1099.58,1082.57
267,5668000,1591000000,580700000,21800000,221500,7.096e-14,49920,21020000,1099.58,1082.99
268,5644000,1566000000,564500000,21110000,212700,6.947e-14,49830,20710000,1099.58,1083.4
269,5620000,1540000000,548700000,20440000,204300,6.802e-14,49750,20410000,1099.58,1083.8
270,5597000,1515000000,533400000,19790000,196300,6.66e-14,49670,20110000,1099.58,1084.19
271,5573000,1491000000,518500000,19160000,188500,6.522e-14,49580,19810000,1099.58,1084.58
272,5550000,1467000000,504000000,18550000,181100,6.387e-14,49500,19510000,1099.58,1084.95
273,5527000,1443000000,490000000,17960000,173900,6.255e-14,49420,19220000,1099.58,1085.31
274,5504000,1420000000,476400000,17390000,167100,6.126e-14,49350,18940000,1099.58,1085.66
275,5481000,1397000000,463100000,16840000,160500,6e-14,49270,18660000,1099.58,1086.01
276,5458000,1374000000,450300000,16310000,154200,5.877e-14,49200,18380000,1099.58,1086.34
277,5435000,1352000000,437800000,15800000,148200,5.757e-14,49120,18110000,1099.58,1086.67
278,5413000,1331000000,425700000,15300000,142300,5.64e-14,49050,17840000,1099.58,1086.99
279,5390000,1309000000,413900000,14810000,136800,5.525e-14,48980,17570000,1099.58,1087.3
280,5368000,1288000000,402400000,14350000,131400,5.413e-14,48900,17310000,1099.58,1087.6
281,5346000,1268000000,391300000,13890000,126300,5.304e-14,48830,17050000,1099.58,1087.9
282,5324000,1247000000,380500000,13460000,121300,5.197e-14,48760,16800000,1099.58,1088.19
283,5302000,1228000000,370000000,13030000,116600,5.092e-14,48700,16550000,1099.58,1088.47
284,5280000,1208000000,359800000,12620000,112000,4.99e-14,48630,16300000,1099.58,1088.74
285,5259000,1189000000,349800000,12230000,107700,4.89e-14,48560,16060000,1099.58,1089.01
286,5237000,1170000000,340200000,11840000,103500,4.792e-14,48500,15820000,1099.58,1089.27
287,5216000,1151000000,330800000,11470000,99420,4.697e-14,48430,15580000,1099.58,1089.52
288,5195000,1133000000,321700000,11110000,95540,4.603e-14,48370,15350000,1099.58,1089.77
289,5173000,1115000000,312900000,10770000,91820,4.512e-14,48300,15120000,1099.58,1090.01
290,5152000,1097000000,304300000,10430000,88250,4.423e-14,48240,14900000,1099.58,1090.25
291,5131000,1080000000,296000000,10100000,84820,4.335e-14,48180,14670000,1099.58,1090.48
292,5111000,1063000000,287800000,9787000,81520,4.25e-14,48110,14460000,1099.58,1090.7
293,5090000,1046000000,280000000,9481000,78360,4.166e-14,48050,14240000,1099.58,1090.92
294,5069000,1029000000,272300000,9185000,75320,4.085e-14,47990,14030000,1099.58,1091.13
295,5049000,1013000000,264800000,8899000,72390,4.005e-14,47930,13820000,1099.58,1091.34
296,5028000,997100000,257600000,8621000,69590,3.927e-14,47870,13610000,1099.58,1091.54
297,5008000,981300000,250500000,8353000,66890,3.85e-14,47810,13410000,1099.58,1091.74
298,4988000,965900000,243700000,8092000,64300,3.776e-14,47760,13210000,1099.58,1091.93
299,4968000,950700000,237100000,7841000,61810,3.702e-14,47700,13020000,1099.58,1092.12
300,4948000,935100000,230600000,7597000,59420,3.629e-14,47640,12820000,1099.58,1092.31
301,4928000,920400000,224300000,7361000,57120,3.559e-14,47580,12630000,1099.58,1092.48
302,4908000,906000000,218200000,7132000,54920,3.491e-14,47520,12440000,1099.58,1092.66
303,4889000,891700000,212200000,6911000,52800,3.424e-14,47470,12260000,1099.58,1092.83
304,4869000,877800000,206500000,6696000,50760,3.358e-14,47410,12080000,1099.58,1092.99
305,4850000,864000000,200800000,6489000,48800,3.294e-14,47360,11900000,1099.58,1093.16
306,4830000,850500000,195400000,6288000,46920,3.231e-14,47300,11720000,1099.58,1093.31
307,4811000,837100000,190100000,6093000,45110,3.17e-14,47250,11550000,1099.58,1093.47
308,4792000,824000000,184900000,5904000,43370,3.109e-14,47190,11380000,1099.58,1093.62
309,4773000,811100000,179900000,5722000,41700,3.05e-14,47140,11210000,1099.58,1093.76
310,4754000,798500000,175000000,5545000,40100,2.993e-14,47090,11050000,1099.58,1093.9
311,4735000,786000000,170300000,5373000,38560,2.936e-14,47030,10880000,1099.58,1094.04
312,4716000,773700000,165700000,5207000,37080,2.881e-14,46980,10720000,1099.58,1094.18
313,4697000,761700000,161200000,5046000,35650,2.827e-14,46930,10570000,1099.58,1094.31
314,4679000,749800000,156800000,4891000,34280,2.774e-14,46880,10410000,1099.58,1094.44
315,4660000,738100000,152600000,4740000,32970,2.722e-14,46820,10260000,1099.58,1094.57
316,4642000,726600000,148400000,4594000,31700,2.671e-14,46770,10110000,1099.58,1094.69
317,4623000,715300000,144400000,4452000,30490,2.621e-14,46720,9962000,1099.58,1094.81
318,4605000,704200000,140500000,4315000,29320,2.572e-14,46670,9817000,1099.58,1094.92
319,4587000,693200000,136700000,4182000,28190,2.525e-14,46620,9674000,1099.58,1095.04
320,4569000,682400000,133000000,4053000,27120,2.478e-14,46570,9533000,1099.58,1095.15
321,4551000,671800000,129500000,3929000,26080,2.432e-14,46460,9394000,1099.58,1095.26
322,4533000,661400000,126000000,3808000,25080,2.387e-14,46420,9257000,1099.58,1095.36
323,4515000,651100000,122600000,3691000,24120,2.343e-14,46370,9123000,1099.58,1095.46
324,4497000,641000000,119300000,3578000,23200,2.3e-14,46320,8991000,1099.58,1095.57
325,4479000,631100000,116100000,3468000,22310,2.258e-14,46270,8860000,1099.58,1095.66
326,4462000,621300000,112900000,3361000,21460,2.216e-14,46230,8732000,1099.58,1095.76
327,4444000,611700000,109900000,3258000,20640,2.176e-14,46180,8606000,1099.58,1095.85
328,4427000,602200000,106900000,3158000,19850,2.136e-14,46130,8482000,1099.58,1095.94
329,4409000,592900000,104100000,3062000,19100,2.097e-14,46080,8359000,1099.58,1096.03
330,4392000,583800000,101300000,2968000,18370,2.059e-14,46040,8239000,1099.58,1096.12
331,4375000,574700000,98550000,2877000,17670,2.022e-14,45990,8120000,1099.58,1096.2
332,4358000,565900000,95900000,2789000,17000,1.985e-14,45940,8003000,1099.58,1096.28
333,4341000,557100000,93330000,2704000,16350,1.949e-14,45900,7888000,1099.58,1096.36
334,4324000,548500000,90830000,2621000,15730,1.914e-14,45850,7775000,1099.58,1096.44
335,4307000,540100000,88390000,2541000,15130,1.88e-14,45810,7663000,1099.58,1096.52
336,4290000,531700000,86020000,2463000,14550,1.846e-14,45760,7554000,1099.58,1096.59
337,4273000,523500000,83720000,2388000,14000,1.813e-14,45710,7446000,1099.58,1096.67
338,4257000,515500000,81480000,2315000,13470,1.78e-14,45670,7339000,1099.58,1096.74
